日期,时间,时间戳,27币涨跌幅总和(%)
2026-01-05,18:00,1767606840,0.0000
2026-01-05,18:30,1767608640,0.0000
2026-01-05,19:00,1767610440,0.0000
2026-01-05,19:30,1767612240,0.0000
2026-01-05,20:00,1767614040,0.0000
2026-01-05,20:30,1767615840,0.0000
2026-01-05,21:00,1767617640,0.0000
2026-01-05,21:30,1767619440,0.0000
2026-01-05,22:00,1767621240,0.0000
2026-01-05,22:30,1767623040,0.0000
2026-01-05,23:00,1767624840,0.0000
2026-01-05,23:30,1767626640,0.0000
2026-01-06,00:00,1767628440,0.0000
2026-01-06,00:30,1767630240,0.0000
2026-01-06,01:00,1767632040,0.0000
2026-01-06,01:30,1767633840,0.0000
2026-01-06,02:00,1767635640,0.0000
2026-01-06,02:30,1767637440,0.0000
2026-01-06,03:00,1767639240,0.0000
2026-01-06,03:30,1767641040,0.0000
2026-01-06,04:00,1767642840,0.0000
2026-01-06,04:30,1767644640,0.0000
2026-01-06,05:00,1767646440,0.0000
2026-01-06,05:30,1767648240,0.0000
2026-01-06,06:00,1767650040,0.0000
2026-01-06,06:30,1767651840,0.0000
2026-01-06,07:00,1767653640,0.0000
2026-01-06,07:30,1767655440,0.0000
2026-01-06,08:00,1767657240,0.0000
2026-01-06,08:30,1767659040,0.0000
2026-01-06,09:00,1767660840,0.0000
2026-01-06,09:30,1767662640,0.0000
2026-01-06,10:00,1767664440,0.0000
2026-01-06,10:30,1767666240,0.0000
2026-01-06,11:00,1767668040,0.0000
2026-01-06,11:30,1767669840,0.0000
2026-01-06,12:00,1767671640,0.0000
2026-01-06,12:30,1767673440,0.0000
2026-01-06,13:00,1767675240,0.0000
2026-01-06,13:30,1767677040,0.0000
2026-01-06,14:00,1767678840,0.0000
2026-01-06,14:30,1767680640,0.0000
2026-01-06,15:00,1767682440,0.0000
2026-01-06,15:30,1767684240,0.0000
2026-01-06,16:00,1767686040,0.0000
2026-01-06,16:30,1767687840,0.0000
2026-01-06,17:00,1767689640,0.0000
2026-01-06,17:30,1767691440,0.0000
2026-01-06,18:00,1767693240,0.0000
2026-01-06,18:30,1767695040,0.0000
2026-01-06,19:00,1767696840,0.0000
2026-01-06,19:30,1767698640,0.0000
2026-01-06,20:00,1767700440,0.0000
2026-01-06,20:30,1767702240,0.0000
2026-01-06,21:00,1767704040,0.0000
2026-01-06,21:30,1767705840,0.0000
2026-01-06,22:00,1767707640,0.0000
2026-01-06,22:30,1767709440,0.0000
2026-01-06,23:00,1767711240,0.0000
2026-01-06,23:30,1767713040,0.0000
2026-01-07,00:00,1767714840,0.0000
2026-01-07,00:30,1767716640,0.0000
2026-01-07,01:00,1767718440,0.0000
2026-01-07,01:30,1767720240,0.0000
2026-01-07,02:00,1767722040,0.0000
2026-01-07,02:30,1767723840,0.0000
2026-01-07,03:00,1767725640,0.0000
2026-01-07,03:30,1767727440,0.0000
2026-01-07,04:00,1767729240,0.0000
2026-01-07,04:30,1767731040,0.0000
2026-01-07,05:00,1767732840,0.0000
2026-01-07,05:30,1767734640,0.0000
2026-01-07,06:00,1767736440,0.0000
2026-01-07,06:30,1767738240,0.0000
2026-01-07,07:00,1767740040,0.0000
2026-01-07,07:30,1767741840,0.0000
2026-01-07,08:00,1767743640,0.0000
2026-01-07,08:30,1767745440,0.0000
2026-01-07,09:00,1767747240,0.0000
2026-01-07,09:30,1767749040,0.0000
2026-01-07,10:00,1767750840,0.0000
2026-01-07,10:30,1767752640,0.0000
2026-01-07,11:00,1767754440,0.0000
2026-01-07,11:30,1767756240,0.0000
2026-01-07,12:00,1767758040,0.0000
2026-01-07,12:30,1767759840,0.0000
2026-01-07,13:00,1767761640,0.0000
2026-01-07,13:30,1767763440,0.0000
2026-01-07,14:00,1767765240,0.0000
2026-01-07,14:30,1767767040,0.0000
2026-01-07,15:00,1767768840,0.0000
2026-01-07,15:30,1767770640,0.0000
2026-01-07,16:00,1767772440,0.0000
2026-01-07,16:30,1767774240,0.0000
2026-01-07,17:00,1767776040,0.0000
2026-01-07,17:30,1767777840,0.0000
2026-01-07,18:00,1767779640,0.0000
2026-01-07,18:30,1767781440,0.0000
2026-01-07,19:00,1767783240,0.0000
2026-01-07,19:30,1767785040,0.0000
2026-01-07,20:00,1767786840,0.0000
2026-01-07,20:30,1767788640,0.0000
2026-01-07,21:00,1767790440,0.0000
2026-01-07,21:30,1767792240,0.0000
2026-01-07,22:00,1767794040,0.0000
2026-01-07,22:30,1767795840,0.0000
2026-01-07,23:00,1767797640,0.0000
2026-01-07,23:30,1767799440,0.0000
2026-01-08,00:00,1767801240,0.0000
2026-01-08,00:30,1767803040,0.0000
2026-01-08,01:00,1767804840,0.0000
2026-01-08,01:30,1767806640,0.0000
2026-01-08,02:00,1767808440,0.0000
2026-01-08,02:30,1767810240,0.0000
2026-01-08,03:00,1767812040,0.0000
2026-01-08,03:30,1767813840,0.0000
2026-01-08,04:00,1767815640,0.0000
2026-01-08,04:30,1767817440,0.0000
2026-01-08,05:00,1767819240,0.0000
2026-01-08,05:30,1767821040,0.0000
2026-01-08,06:00,1767822840,0.0000
2026-01-08,06:30,1767824640,0.0000
2026-01-08,07:00,1767826440,0.0000
2026-01-08,07:30,1767828240,0.0000
2026-01-08,08:00,1767830040,0.0000
2026-01-08,08:30,1767831840,0.0000
2026-01-08,09:00,1767833640,0.0000
2026-01-08,09:30,1767835440,0.0000
2026-01-08,10:00,1767837240,0.0000
2026-01-08,10:30,1767839040,0.0000
2026-01-08,11:00,1767840840,0.0000
2026-01-08,11:30,1767842640,0.0000
2026-01-08,12:00,1767844440,0.0000
2026-01-08,12:30,1767846240,0.0000
2026-01-08,13:00,1767848040,0.0000
2026-01-08,13:30,1767849840,0.0000
2026-01-08,14:00,1767851640,0.0000
2026-01-08,14:30,1767853440,0.0000
2026-01-08,15:00,1767855240,0.0000
2026-01-08,15:30,1767857040,0.0000
2026-01-08,16:00,1767858840,0.0000
2026-01-08,16:30,1767860640,0.0000
2026-01-08,17:00,1767862440,0.0000
2026-01-08,17:30,1767864240,0.0000
2026-01-08,18:00,1767866040,0.0000
2026-01-08,18:30,1767867840,0.0000
2026-01-08,19:00,1767869640,0.0000
2026-01-08,19:30,1767871440,0.0000
2026-01-08,20:00,1767873240,0.0000
2026-01-08,20:30,1767875040,0.0000
2026-01-08,21:00,1767876840,0.0000
2026-01-08,21:30,1767878640,0.0000
2026-01-08,22:00,1767880440,0.0000
2026-01-08,22:30,1767882240,0.0000
2026-01-08,23:00,1767884040,0.0000
2026-01-08,23:30,1767885840,0.0000
2026-01-09,00:00,1767887640,0.0000
2026-01-09,00:30,1767889440,0.0000
2026-01-09,01:00,1767891240,0.0000
2026-01-09,01:30,1767893040,0.0000
2026-01-09,02:00,1767894840,0.0000
2026-01-09,02:30,1767896640,0.0000
2026-01-09,03:00,1767898440,0.0000
2026-01-09,03:30,1767900240,0.0000
2026-01-09,04:00,1767902040,0.0000
2026-01-09,04:30,1767903840,0.0000
2026-01-09,05:00,1767905640,0.0000
2026-01-09,05:30,1767907440,0.0000
2026-01-09,06:00,1767909240,0.0000
2026-01-09,06:30,1767911040,0.0000
2026-01-09,07:00,1767912840,0.0000
2026-01-09,07:30,1767914640,0.0000
2026-01-09,08:00,1767916440,0.0000
2026-01-09,08:30,1767918240,0.0000
2026-01-09,09:00,1767920040,0.0000
2026-01-09,09:30,1767921840,0.0000
2026-01-09,10:00,1767923640,0.0000
2026-01-09,10:30,1767925440,0.0000
2026-01-09,11:00,1767927240,0.0000
2026-01-09,11:30,1767929040,0.0000
2026-01-09,12:00,1767930840,0.0000
2026-01-09,12:30,1767932640,0.0000
2026-01-09,13:00,1767934440,0.0000
2026-01-09,13:30,1767936240,0.0000
