日期,时间,时间戳,币种,基准价格(00:00),当前价格,涨跌幅(%)
2026-01-03,01:00:00,1767402000,LTC,0.00000000,0.00000000,0.0000
2026-01-03,01:00:00,1767402000,NEAR,0.00000000,0.00000000,0.0000
2026-01-03,01:00:00,1767402000,SOL,0.00000000,0.00000000,0.0000
2026-01-03,01:00:00,1767402000,STX,0.00000000,0.00000000,0.0000
2026-01-03,01:00:00,1767402000,SUI,0.00000000,0.00000000,0.0000
2026-01-03,01:00:00,1767402000,TAO,0.00000000,0.00000000,0.0000
2026-01-03,01:00:00,1767402000,TON,0.00000000,0.00000000,0.0000
2026-01-03,01:00:00,1767402000,TRX,0.00000000,0.00000000,0.0000
2026-01-03,01:00:00,1767402000,UNI,0.00000000,0.00000000,0.0000
2026-01-03,01:00:00,1767402000,XLM,0.00000000,0.00000000,0.0000
2026-01-03,01:00:00,1767402000,XRP,0.00000000,0.00000000,0.0000
2026-01-03,01:30:00,1767403800,AAVE,0.00000000,0.00000000,0.0000
2026-01-03,01:30:00,1767403800,APT,0.00000000,0.00000000,0.0000
2026-01-03,01:30:00,1767403800,BCH,0.00000000,0.00000000,0.0000
2026-01-03,01:30:00,1767403800,BNB,0.00000000,0.00000000,0.0000
2026-01-03,01:30:00,1767403800,BTC,0.00000000,0.00000000,0.0000
2026-01-03,01:30:00,1767403800,CFX,0.00000000,0.00000000,0.0000
2026-01-03,01:30:00,1767403800,CRO,0.00000000,0.00000000,0.0000
2026-01-03,01:30:00,1767403800,CRV,0.00000000,0.00000000,0.0000
2026-01-03,01:30:00,1767403800,DOGE,0.00000000,0.00000000,0.0000
2026-01-03,01:30:00,1767403800,DOT,0.00000000,0.00000000,0.0000
2026-01-03,01:30:00,1767403800,ETC,0.00000000,0.00000000,0.0000
2026-01-03,01:30:00,1767403800,ETH,0.00000000,0.00000000,0.0000
2026-01-03,01:30:00,1767403800,FIL,0.00000000,0.00000000,0.0000
2026-01-03,01:30:00,1767403800,HBAR,0.00000000,0.00000000,0.0000
2026-01-03,01:30:00,1767403800,LDO,0.00000000,0.00000000,0.0000
2026-01-03,01:30:00,1767403800,LINK,0.00000000,0.00000000,0.0000
2026-01-03,01:30:00,1767403800,LTC,0.00000000,0.00000000,0.0000
2026-01-03,01:30:00,1767403800,NEAR,0.00000000,0.00000000,0.0000
2026-01-03,01:30:00,1767403800,SOL,0.00000000,0.00000000,0.0000
2026-01-03,01:30:00,1767403800,STX,0.00000000,0.00000000,0.0000
2026-01-03,01:30:00,1767403800,SUI,0.00000000,0.00000000,0.0000
2026-01-03,01:30:00,1767403800,TAO,0.00000000,0.00000000,0.0000
2026-01-03,01:30:00,1767403800,TON,0.00000000,0.00000000,0.0000
2026-01-03,01:30:00,1767403800,TRX,0.00000000,0.00000000,0.0000
2026-01-03,01:30:00,1767403800,UNI,0.00000000,0.00000000,0.0000
2026-01-03,01:30:00,1767403800,XLM,0.00000000,0.00000000,0.0000
2026-01-03,01:30:00,1767403800,XRP,0.00000000,0.00000000,0.0000
2026-01-03,02:00:00,1767405600,AAVE,0.00000000,0.00000000,0.0000
2026-01-03,02:00:00,1767405600,APT,0.00000000,0.00000000,0.0000
2026-01-03,02:00:00,1767405600,BCH,0.00000000,0.00000000,0.0000
2026-01-03,02:00:00,1767405600,BNB,0.00000000,0.00000000,0.0000
2026-01-03,02:00:00,1767405600,BTC,0.00000000,0.00000000,0.0000
2026-01-03,02:00:00,1767405600,CFX,0.00000000,0.00000000,0.0000
2026-01-03,02:00:00,1767405600,CRO,0.00000000,0.00000000,0.0000
2026-01-03,02:00:00,1767405600,CRV,0.00000000,0.00000000,0.0000
2026-01-03,02:00:00,1767405600,DOGE,0.00000000,0.00000000,0.0000
2026-01-03,02:00:00,1767405600,DOT,0.00000000,0.00000000,0.0000
2026-01-03,02:00:00,1767405600,ETC,0.00000000,0.00000000,0.0000
2026-01-03,02:00:00,1767405600,ETH,0.00000000,0.00000000,0.0000
2026-01-03,02:00:00,1767405600,FIL,0.00000000,0.00000000,0.0000
